排名,球员姓名,球队,比赛场次,出场时间,得分,篮板,助攻,抢断,盖帽,投篮命中率,三分命中数,三分命中率%,罚球命中率
52,奥斯汀 里夫斯,湖人,73,34.9,20.2,4.5,5.8,1.1,0.3,46%,200,37.7%,87.7%
53,帕斯卡尔 西亚卡姆,步行者,78,32.7,20.2,6.9,3.4,0.9,0.5,51.9%,126,38.9%,73.4%
54,安东尼 戴维斯,独行侠,9,29.6,20,10.1,4.4,0.6,2.2,46.1%,7,23.3%,68.8%
55,达龙 福克斯,国王,17,34,19.7,4.3,6.8,1.5,0.3,44.6%,26,27.4%,81.9%
56,克里斯塔普斯 波尔津吉斯,凯尔特人,42,28.8,19.5,6.8,2.1,0.7,1.5,48.3%,103,41.2%,80.9%
57,安芬尼 西蒙斯,开拓者,70,32.7,19.3,2.7,4.8,0.9,0.1,42.6%,215,36.3%,90.2%
58,斯科蒂 巴恩斯,猛龙,65,32.8,19.3,7.7,5.8,1.4,1,44.6%,76,27.1%,75.5%
59,戴斯蒙德 贝恩,魔术,69,32,19.2,6.1,5.3,1.2,0.4,48.4%,164,39.2%,89.4%
60,多曼塔斯 萨博尼斯,国王,70,34.7,19.1,13.9,6,0.7,0.4,59%,65,41.7%,75.4%
61,阿尔佩伦 申京,火箭,76,31.5,19.1,10.3,4.9,1.1,0.8,49.6%,21,23.3%,69.2%
62,德安德烈 亨特,老鹰,37,28.8,19,3.9,1.5,0.8,0.1,46.1%,97,39.3%,85.8%
63,劳里 马尔卡宁,爵士,47,31.4,19,5.9,1.5,0.7,0.4,42.3%,138,34.6%,87.6%
64,约翰 科林斯,爵士,40,30.5,19,8.2,2,1,1,52.7%,59,39.9%,84.8%
65,安德鲁 维金斯,勇士,17,32.1,19,4.2,3.3,1.2,1,45.8%,36,36%,73.1%
66,杰伦 约翰逊,老鹰,36,35.7,18.9,10,5,1.6,1,50%,44,31.2%,74.6%
67,卡梅隆 约翰逊,篮网,57,31.6,18.8,4.3,3.4,0.9,0.4,47.5%,159,39%,89.3%
68,朱利叶斯 兰德尔,森林狼,69,32.3,18.7,7.1,4.7,0.7,0.2,48.5%,108,34.4%,80.6%
69,泰雷塞 哈利伯顿,步行者,73,33.6,18.6,3.5,9.2,1.4,0.7,47.3%,218,38.8%,85.1%
70,谢登 夏普,开拓者,72,31.3,18.5,4.5,2.8,0.9,0.2,45.2%,147,31.1%,78.5%
71,埃文 莫布利,骑士,71,30.5,18.5,9.3,3.2,0.9,1.6,55.7%,85,37%,72.5%
72,尼古拉 武切维奇,公牛,73,31.2,18.5,10.1,3.5,0.8,0.7,53%,129,40.2%,80.5%
73,科林 塞克斯顿,爵士,63,27.9,18.4,2.7,4.2,0.7,0.1,48%,110,40.6%,86.5%
74,丹尼斯 施罗德,勇士,23,33.6,18.4,3,6.6,1.1,0.2,45.2%,58,38.7%,88.9%
75,迈克尔 波特,掘金,77,33.7,18.2,7,2.1,0.6,0.5,50.4%,193,39.5%,76.8%
76,巴姆 阿德巴约,热火,78,34.3,18.1,9.6,4.3,1.3,0.7,48.5%,79,35.7%,76.5%
77,OG 阿努诺比,尼克斯,74,36.6,18,4.8,2.2,1.5,0.9,47.6%,171,37.2%,81%
78,吉米 巴特勒三世,勇士,30,32.7,17.9,5.5,5.9,1.7,0.3,47.6%,19,27.9%,87%
79,杰登 艾维,活塞,30,29.9,17.6,4.1,4,0.9,0.4,46%,63,40.9%,73.3%
80,米卡尔 布里奇斯,尼克斯,82,37,17.6,3.2,3.7,0.9,0.5,50%,164,35.4%,81.4%
81,安德鲁 维金斯,勇士,43,30.1,17.6,4.6,2.4,0.9,0.8,44.4%,94,37.9%,77.7%
82,德章泰 穆雷,鹈鹕,31,32.6,17.5,6.5,7.4,2,0.4,39.3%,52,29.9%,82.3%
